AGE,GENDER,MARITAL_STATUS,CUSTOMER_CLASS,LINE_TENURE,SUBPLAN,SUBPLAN_PREVIOUS,NUM_TEL,NUM_ACT_TEL,PAY_METD,PAY_METD_PREV,CUSTOMER_TYPE
2,0,0,3,686.0,2135.0,2135,1,1,2,2,0
2,1,0,3,1652.0,2101.0,2101,1,1,2,2,0
1,1,1,3,928.0,2136.0,2105,2,1,2,1,0
2,0,1,3,1739.0,2101.0,2101,2,2,2,2,0
2,1,0,3,1099.0,2206.0,2101,3,2,2,2,0
2,1,1,3,2257.0,2102.0,2101,1,1,2,2,0
2,0,1,3,1171.0,2105.0,2105,2,2,2,2,0
2,0,1,3,2495.0,2101.0,2101,3,2,1,1,0
2,1,0,3,1175.0,2101.0,2101,2,2,2,2,0
2,0,1,3,1855.0,2105.0,2105,4,2,2,2,0
2,0,1,3,2232.0,2101.0,2101,2,1,4,4,1
1,1,1,7,396.0,2209.0,2208,1,1,2,2,0
2,0,0,3,605.0,2206.0,2206,1,1,2,2,0
2,1,1,8,1510.0,2101.0,2101,2,1,4,4,0
2,0,0,3,1840.0,2101.0,2101,4,4,2,2,0
2,1,0,3,273.0,2242.0,2242,1,1,2,2,0
1,1,1,3,439.0,2242.0,2242,3,2,2,2,0
2,1,1,7,1712.0,2161.0,2171,1,1,2,3,1
1,1,1,3,1615.0,2101.0,2101,1,1,2,2,0
2,1,0,3,1716.0,2105.0,2105,3,1,2,2,0
1,0,0,3,310.0,2241.0,2241,1,1,2,2,0
2,1,0,3,1847.0,2242.0,2105,2,2,2,2,0
2,1,1,7,1518.0,2194.0,2166,1,1,2,2,0
1,1,1,7,1197.0,2208.0,2194,4,1,1,2,0
2,0,0,3,375.0,2137.0,2242,3,3,2,2,0
2,0,0,3,2927.0,2101.0,2101,1,1,2,2,1
1,0,1,3,1801.0,2105.0,2105,5,5,2,2,0
2,1,1,3,1074.0,2105.0,2105,2,2,2,2,0
2,0,1,3,1480.0,2107.0,2102,7,4,0,2,1
2,1,1,7,2030.0,2156.0,2101,1,1,2,2,0
2,0,0,3,703.0,2105.0,2105,6,3,2,2,0
2,0,0,3,1862.0,2105.0,2105,3,2,1,2,0
2,1,0,3,1084.0,2105.0,2105,2,2,4,4,0
2,1,0,3,365.0,2242.0,2242,3,2,2,2,0
1,0,1,3,510.0,2206.0,2206,1,1,2,2,0
2,1,0,3,1740.0,2105.0,2105,2,2,2,2,0
1,0,1,7,1197.0,2166.0,2171,2,1,4,4,0
2,1,0,3,1361.0,2101.0,2101,2,2,2,2,0
2,0,1,7,1924.0,2213.0,2161,1,1,0,0,0
2,0,0,3,522.0,2206.0,2206,2,2,2,2,0
1,1,1,3,822.0,2242.0,2135,1,1,2,2,0
1,0,1,3,2031.0,2101.0,2101,2,1,2,2,0
2,0,1,3,1671.0,2101.0,2101,3,2,1,1,0
2,1,0,3,1097.0,2101.0,2101,2,2,2,2,0
2,1,1,3,1330.0,2104.0,2102,3,3,2,2,0
2,0,0,3,1333.0,2103.0,2105,2,1,2,2,0
1,1,1,3,1549.0,2101.0,2101,1,1,2,2,0
1,0,1,3,530.0,2241.0,2114,2,0,2,2,0
1,0,1,3,321.0,2242.0,2242,2,1,2,2,0
2,0,0,3,559.0,2114.0,2114,1,1,2,2,0
2,0,0,3,626.0,2135.0,2135,3,1,2,2,0
2,0,1,3,1435.0,2101.0,2101,2,2,2,2,0
2,1,0,3,1226.0,2241.0,2101,2,2,2,2,0
2,1,0,3,978.0,2243.0,2102,3,2,2,2,0
2,1,0,3,1560.0,2242.0,2107,2,1,4,2,0
2,0,0,3,1053.0,2206.0,2119,4,3,4,4,0
1,1,1,4,271.0,2242.0,2242,1,1,2,2,0
2,1,0,3,640.0,2135.0,2135,3,1,2,2,0
1,1,1,3,1551.0,2242.0,2107,1,1,2,2,1
2,0,0,3,436.0,2242.0,2242,4,2,2,2,0
2,0,1,7,2559.0,2207.0,2165,1,1,2,1,0
2,1,0,3,2544.0,2248.0,2101,4,2,2,2,0
2,1,0,7,2030.0,2156.0,2156,2,1,3,2,1
3,0,0,3,1560.0,2114.0,4101,1,1,2,2,0
2,1,0,3,1712.0,2101.0,2101,3,2,2,2,0
2,1,0,3,2060.0,2102.0,2243,5,4,2,2,1
2,1,0,3,2367.0,2101.0,2101,2,2,4,2,0
2,0,0,3,514.0,2101.0,2101,2,2,2,2,0
2,0,1,3,2182.0,2101.0,2101,1,1,2,2,0
2,1,1,3,2586.0,2102.0,2101,4,2,2,2,1
1,0,1,3,2458.0,2243.0,2101,2,2,4,2,0
2,0,0,3,1683.0,2105.0,2105,2,2,2,2,0
2,0,0,7,747.0,2156.0,2156,3,1,4,4,0
1,1,1,3,1571.0,2242.0,2101,1,1,2,2,0
2,0,0,3,1104.0,2105.0,2119,2,2,2,2,0
2,1,0,3,814.0,2105.0,2105,2,2,4,2,0
1,1,0,3,322.0,2242.0,2242,2,2,2,2,0
1,0,1,3,1560.0,2241.0,2114,2,1,2,2,0
2,1,0,3,1335.0,2105.0,2105,4,4,2,2,0
2,1,0,3,741.0,2135.0,2135,1,1,2,2,0
2,0,0,3,1052.0,2135.0,2101,2,1,2,2,0
2,0,0,3,2301.0,2101.0,2101,1,1,2,2,0
2,1,0,3,2163.0,2101.0,2101,2,2,2,2,0
2,0,0,3,2875.0,2242.0,2102,3,3,2,2,1
2,0,0,3,1354.0,2105.0,2105,2,2,2,2,0
2,1,1,3,700.0,2137.0,2137,5,3,2,0,0
2,1,1,3,1365.0,2105.0,2105,2,2,2,2,0
2,0,0,3,1788.0,2101.0,2101,2,2,2,2,0
2,1,0,3,1587.0,2242.0,2103,1,1,2,2,0
2,1,1,9,273.0,2117.0,2117,195,195,2,2,0
2,0,1,3,1534.0,2114.0,4101,1,1,2,2,0
1,0,1,5,370.0,2241.0,2241,1,1,2,2,0
2,1,0,7,1714.0,2156.0,2156,1,1,4,4,0
1,1,1,3,2240.0,2248.0,2206,1,1,2,2,1
2,0,1,7,1984.0,2105.0,2105,3,2,0,0,0
2,0,1,3,1913.0,2242.0,2101,2,2,2,2,1
2,0,0,3,1511.0,2242.0,2101,4,2,2,2,0
2,1,1,3,962.0,2117.0,2117,3,2,2,2,0
2,1,0,7,1961.0,2171.0,2101,2,2,2,2,0
1,1,1,4,1179.0,2242.0,2107,1,1,2,2,0
1,1,1,3,1861.0,2102.0,2101,2,1,2,2,0
1,0,1,3,1871.0,2206.0,2107,2,2,2,2,0
2,1,0,3,642.0,2135.0,2135,1,1,2,2,0
2,1,0,3,2607.0,2206.0,2108,2,2,4,2,1
1,1,1,3,2295.0,2102.0,2101,4,2,1,2,0
2,0,1,7,1916.0,2156.0,2161,1,1,0,2,0
1,1,1,3,471.0,2248.0,2206,1,1,2,2,0
2,0,0,3,325.0,2242.0,2242,2,1,2,2,0
1,1,1,3,1884.0,2102.0,2104,2,2,0,2,0
2,1,0,3,1090.0,2107.0,2107,3,3,2,2,0
2,0,0,3,1095.0,2101.0,2101,1,1,2,2,0
2,1,0,3,988.0,2101.0,2101,3,1,2,2,0
2,1,0,7,2154.0,2160.0,2171,3,3,4,2,0
2,1,0,3,582.0,2135.0,2135,2,2,2,2,0
2,0,0,3,1874.0,2101.0,2101,1,1,2,2,0
2,1,0,3,3098.0,2102.0,2101,1,1,2,2,0
2,1,1,3,1488.0,2102.0,2102,3,2,2,0,1
1,1,1,3,1719.0,2242.0,2101,1,1,2,2,0
2,1,0,3,1432.0,2101.0,2101,3,2,3,4,0
2,0,1,3,2400.0,2101.0,2101,2,2,2,3,0
2,1,0,3,500.0,2241.0,2101,1,1,2,2,0
1,1,1,3,1093.0,2101.0,2101,1,1,2,2,0
2,1,0,3,2839.0,2101.0,2102,4,3,2,2,0
1,1,1,3,506.0,2135.0,2135,2,0,2,2,0
1,0,1,3,760.0,2242.0,2135,3,1,2,2,0
2,0,0,3,1879.0,2102.0,2107,1,1,2,2,0
2,1,1,3,451.0,2107.0,2107,2,1,2,2,0
1,1,1,3,785.0,2242.0,2107,1,1,2,2,0
2,1,0,3,1999.0,2101.0,2101,2,2,2,2,1
2,0,0,3,429.0,2241.0,2241,1,1,2,2,0
2,0,0,3,887.0,2105.0,2105,2,2,4,4,0
2,1,1,5,2487.0,2242.0,2107,1,1,2,2,1
2,1,0,3,2328.0,2241.0,2101,2,1,2,2,0
2,1,0,3,378.0,2241.0,2241,1,1,2,2,0
2,1,1,3,1054.0,2119.0,2119,5,2,2,2,0
2,0,0,3,2661.0,2102.0,2101,2,2,4,4,0
2,0,0,3,713.0,2105.0,2119,2,2,4,4,0
1,1,1,3,429.0,2242.0,2242,2,1,2,2,0
2,1,0,3,2523.0,2243.0,2137,4,2,2,0,0
2,1,0,3,1776.0,2242.0,2101,5,4,2,2,0
2,0,0,3,1543.0,2107.0,2101,2,1,2,1,0
2,0,0,3,1501.0,2101.0,2101,3,2,1,1,0
2,1,0,3,1738.0,2101.0,2101,4,3,0,0,0
2,0,1,3,1876.0,2103.0,2102,2,0,2,2,0
2,0,1,3,1374.0,2101.0,2101,3,2,2,2,0
2,1,0,3,1073.0,2242.0,2101,2,2,2,2,0
2,1,1,3,458.0,2242.0,2242,2,1,2,2,0
2,0,0,3,797.0,2137.0,2137,2,2,2,2,1
2,0,1,3,1404.0,2101.0,2101,2,1,1,2,0
2,0,1,3,345.0,2248.0,2241,3,2,2,2,1
1,0,1,3,376.0,2243.0,2206,3,1,2,2,1
2,0,0,3,232.0,2242.0,2242,1,1,2,2,0
2,0,1,3,252.0,2248.0,2242,4,2,2,2,0
1,0,1,6,370.0,2242.0,2242,1,1,2,2,0
2,0,0,3,2019.0,2135.0,2105,2,2,2,2,0
2,1,0,3,204.0,2242.0,2242,3,3,2,2,0
1,0,1,3,1065.0,2107.0,2102,2,2,2,2,0
2,1,1,3,1016.0,2242.0,2107,1,1,2,2,0
2,0,0,3,1549.0,2114.0,4101,2,2,4,2,0
1,0,1,3,2325.0,2241.0,2107,5,2,2,2,0
1,1,1,8,444.0,2241.0,2137,1,1,2,2,0
1,0,1,3,2084.0,2105.0,2105,3,2,2,2,0
1,1,1,3,1822.0,2136.0,2103,1,1,2,2,1
1,1,1,3,2810.0,2101.0,2101,1,1,2,2,0
3,1,0,3,196.0,2241.0,2241,1,1,2,2,0
2,1,0,3,1053.0,2242.0,2119,2,2,2,2,0
1,0,1,3,235.0,2248.0,2241,7,0,2,2,0
2,1,0,5,892.0,2135.0,2119,2,2,4,2,0
1,1,1,3,1670.0,2105.0,2105,2,2,2,2,0
2,1,0,3,1548.0,2137.0,2104,2,1,1,2,0
1,0,1,3,2470.0,2242.0,2102,2,2,2,2,0
1,1,1,6,251.0,2248.0,2242,1,1,2,2,0
2,0,0,3,1301.0,2206.0,2105,2,2,2,2,0
2,1,1,3,942.0,2119.0,2119,2,2,2,2,0
1,0,1,4,513.0,2206.0,2206,1,1,2,2,0
2,0,0,3,1200.0,2242.0,2107,2,2,2,2,0
2,1,1,3,1603.0,2105.0,2105,3,2,2,2,0
2,0,1,9,1814.0,2156.0,2156,2,2,2,2,0
2,0,1,3,343.0,2241.0,2241,4,2,2,2,0
2,0,1,3,401.0,2242.0,2105,2,2,2,3,1
2,1,1,3,2117.0,2105.0,2105,7,2,2,2,0
2,1,0,3,680.0,2106.0,2106,1,1,2,2,0
2,1,1,7,2129.0,2156.0,2156,4,2,2,1,0
2,1,0,3,614.0,2206.0,2206,2,1,4,4,0
2,1,1,3,2310.0,2101.0,2101,1,1,2,2,1
1,0,1,3,1104.0,2135.0,2107,1,1,2,2,1
1,0,1,7,1809.0,2156.0,2105,3,3,1,4,0
2,1,0,7,1399.0,2166.0,2166,2,2,2,2,0
1,1,1,7,1834.0,2161.0,2101,2,2,4,2,0
2,1,1,3,1691.0,2105.0,2105,3,1,2,2,0
2,1,0,7,1798.0,2155.0,2155,2,1,4,4,0
2,1,1,3,2470.0,2101.0,2102,2,2,2,2,0
2,1,0,3,1464.0,2104.0,2102,2,2,0,0,0
1,1,1,3,3046.0,2101.0,2101,1,1,1,2,0
1,1,1,3,332.0,2206.0,2206,3,1,2,2,0
1,0,1,4,214.0,2241.0,2241,1,1,2,2,0
1,1,1,3,806.0,2105.0,2105,2,2,2,2,0
2,1,0,3,1477.0,2135.0,2105,2,1,2,0,0
1,1,1,6,1416.0,2101.0,2101,2,1,2,2,0
1,1,1,3,1411.0,2243.0,2102,5,1,2,2,1
2,1,1,3,1696.0,2105.0,2105,2,2,2,2,0
2,1,0,3,670.0,2135.0,2135,3,1,2,2,0
2,0,0,3,748.0,2135.0,2135,2,1,2,2,0
1,1,1,3,2023.0,2248.0,2243,1,1,2,2,0
2,1,0,3,1329.0,2135.0,2101,3,2,1,2,0
2,1,1,3,1256.0,2105.0,2105,5,4,2,2,0
2,1,1,3,1785.0,2102.0,2102,3,3,2,2,0
2,1,1,3,2692.0,2102.0,2101,2,1,2,2,1
2,1,1,3,1850.0,2103.0,2101,1,1,2,2,0
1,0,1,3,774.0,2105.0,2105,2,2,2,2,0
1,1,1,4,623.0,2206.0,2206,2,1,2,2,0
2,1,0,3,1877.0,2137.0,2102,2,1,2,2,0
2,1,1,3,340.0,2242.0,2242,3,1,2,2,0
2,1,1,7,1705.0,2156.0,2156,3,1,4,4,0
2,1,0,7,340.0,2161.0,2161,3,2,4,4,0
2,0,0,3,1690.0,2105.0,2105,2,2,4,4,0
2,0,0,3,1427.0,2105.0,2105,4,2,4,4,0
2,1,0,3,2706.0,2101.0,2101,2,1,2,1,0
2,1,0,3,2688.0,2242.0,2101,2,2,2,2,0
2,1,0,3,1550.0,2114.0,4101,1,1,2,2,0
2,1,0,7,1948.0,2156.0,2101,3,0,2,0,0
2,0,0,3,1740.0,2101.0,2105,3,1,2,2,0
1,1,1,3,733.0,2248.0,2135,1,1,2,2,0
1,1,1,3,210.0,2242.0,2242,10,2,2,2,0
2,1,0,3,1837.0,2105.0,2105,2,2,2,2,0
2,1,0,3,1733.0,2248.0,2135,1,1,2,2,0
1,1,1,3,2497.0,2101.0,2101,1,1,2,2,0
1,1,1,6,1544.0,2101.0,2101,1,1,2,2,0
2,1,0,3,1810.0,2105.0,2105,2,2,4,2,0
1,1,1,4,225.0,2242.0,2242,1,1,2,2,0
2,1,0,3,1017.0,2243.0,2101,1,1,2,2,0
1,0,1,3,3018.0,2101.0,2101,1,1,2,2,1
2,0,1,3,328.0,2241.0,2241,3,3,1,2,0
1,1,1,3,2307.0,2102.0,2101,4,1,2,2,0
2,0,0,3,397.0,2242.0,2241,3,3,2,1,0
2,1,0,3,192.0,2117.0,2117,4,4,2,2,0
2,1,0,3,2283.0,2101.0,2101,3,3,2,2,0
2,0,1,3,1958.0,2104.0,2102,2,0,1,2,0
2,0,1,3,1826.0,2107.0,2101,2,2,2,1,1
2,1,1,9,565.0,2155.0,2155,101,52,2,2,1
2,1,0,7,1813.0,2105.0,2105,3,2,4,2,0
1,1,1,3,2760.0,2242.0,2135,1,1,2,2,0
2,0,0,8,1454.0,2101.0,2101,2,1,4,2,0
1,1,1,3,1318.0,2107.0,2107,3,3,2,2,0
2,1,1,3,1406.0,2102.0,2102,1,1,2,2,0
1,1,1,3,1186.0,2109.0,2102,3,2,2,2,0
1,1,1,3,1703.0,2101.0,2102,1,1,2,2,0
2,1,0,3,1444.0,2242.0,2101,2,1,1,1,0
2,1,0,5,960.0,2101.0,2101,1,1,2,2,0
1,1,1,3,1539.0,2209.0,2213,1,1,2,2,0
2,1,0,3,996.0,2242.0,2135,1,1,2,2,0
2,1,0,3,1422.0,2107.0,2103,2,2,2,2,0
1,1,0,3,1143.0,2101.0,2101,2,2,1,2,0
1,1,1,3,2389.0,2135.0,2107,4,2,2,2,0
2,1,0,3,1256.0,2241.0,2105,2,2,0,4,0
2,0,1,3,380.0,2243.0,2242,1,1,2,2,0
2,1,1,3,3000.0,2102.0,2241,2,2,2,4,1
1,1,1,3,1927.0,2102.0,2101,2,1,2,2,1
2,1,0,3,1123.0,2105.0,2105,5,2,2,2,0
2,0,0,3,705.0,2135.0,2135,2,1,2,2,0
2,1,0,3,1326.0,2242.0,2101,4,2,2,2,0
1,0,1,3,2792.0,2105.0,2103,2,2,2,4,0
2,1,0,3,472.0,2241.0,2241,2,2,2,2,0
2,0,1,9,452.0,2156.0,2156,71,48,2,2,0
2,1,0,3,2363.0,2101.0,2101,2,1,2,2,0
2,1,0,3,644.0,2243.0,2135,1,1,2,2,1
2,1,1,3,1884.0,2103.0,2101,1,1,2,2,0
1,0,1,3,1914.0,2242.0,2101,4,4,2,2,0
2,0,0,3,1087.0,2242.0,2101,4,2,2,2,0
1,0,1,7,1694.0,2183.0,2102,2,2,2,2,0
2,1,1,3,1200.0,2103.0,2103,1,1,0,2,0
2,1,0,3,238.0,2242.0,2242,4,2,2,2,0
2,1,1,7,1887.0,2156.0,2156,2,1,0,0,0
2,0,0,3,1431.0,2101.0,2101,1,1,2,2,0
2,1,0,3,1567.0,2101.0,2101,2,1,1,1,0
1,1,1,3,2204.0,2104.0,2102,2,1,2,2,1
2,1,0,3,910.0,2241.0,2101,4,4,0,2,0
2,1,1,3,619.0,2206.0,2206,1,1,2,2,0
2,0,0,3,2103.0,2104.0,2137,3,3,2,2,0
2,0,0,3,664.0,2135.0,2135,2,1,2,2,0
1,1,1,3,1160.0,2206.0,2102,7,3,2,2,0
2,1,1,7,888.0,2155.0,2155,1,1,4,4,0
2,1,1,7,3122.0,2166.0,2161,2,2,2,2,0
2,1,0,7,1903.0,2156.0,2161,2,2,1,1,0
2,1,0,3,966.0,2114.0,2101,1,1,2,2,0
2,0,0,3,588.0,2206.0,2206,1,1,2,2,0
2,1,0,5,1681.0,2242.0,2105,3,3,2,2,0
2,0,1,7,2023.0,2156.0,2156,3,3,4,4,0
1,0,1,3,1900.0,2105.0,2105,2,2,2,2,0
2,1,0,3,1108.0,2102.0,2136,4,3,2,2,1
2,1,0,3,1801.0,2105.0,2105,2,2,2,2,0
2,1,1,3,2597.0,2102.0,2101,5,4,2,2,0
2,0,0,3,670.0,2206.0,2135,1,1,2,2,0
2,0,0,3,997.0,2105.0,2105,2,2,2,2,0
1,1,1,3,1452.0,2101.0,2101,4,2,2,2,0
2,0,1,9,595.0,2166.0,2171,25,18,4,2,1
1,1,1,3,1142.0,2105.0,2119,3,3,2,2,0
2,1,1,7,306.0,2183.0,2183,3,2,2,2,0
2,0,0,3,1171.0,2101.0,2101,2,2,4,4,0
2,1,0,5,1074.0,2241.0,2101,2,2,2,2,0
2,0,0,3,1834.0,2102.0,2102,4,1,2,2,1
2,0,0,3,1921.0,2136.0,2102,2,1,1,0,1
1,1,1,3,674.0,2242.0,2101,2,2,2,2,0
2,0,0,3,2463.0,2135.0,2107,4,1,2,2,0
1,1,1,3,2304.0,2101.0,2101,3,3,2,2,1
2,1,0,3,2518.0,2104.0,2102,4,4,2,2,0
2,0,0,3,562.0,2135.0,2135,1,1,2,2,0
2,1,0,3,1542.0,2105.0,2105,2,2,2,0,0
2,1,0,3,1872.0,2242.0,2105,2,2,2,2,0
2,0,1,3,706.0,2101.0,2101,2,2,2,2,0
1,0,1,4,1027.0,2107.0,2107,1,1,2,2,0
1,0,1,5,779.0,2242.0,2107,2,1,2,2,0
1,1,1,3,1304.0,2107.0,2107,1,1,2,2,0
2,1,1,5,1240.0,2107.0,2107,2,1,2,2,0
2,1,1,3,2988.0,2107.0,2101,1,1,4,2,0
2,0,0,3,1770.0,2105.0,2119,3,2,2,2,0
1,1,1,5,334.0,2242.0,2242,1,1,2,2,0
2,1,1,3,1786.0,2137.0,2104,4,4,4,2,0
2,1,1,3,2224.0,2102.0,2101,1,1,0,2,0
2,0,0,5,493.0,2241.0,2135,3,3,2,2,0
1,0,0,3,788.0,2135.0,2135,2,1,2,2,0
2,1,1,3,2542.0,2107.0,2101,1,1,1,1,0
2,0,1,3,2116.0,2101.0,2101,1,1,2,2,0
2,1,0,3,2056.0,2242.0,2105,2,2,2,2,0
2,0,1,3,2627.0,2101.0,2101,4,4,1,1,1
2,1,0,3,1832.0,2242.0,2101,4,1,2,2,0
2,1,0,3,844.0,2107.0,2102,2,2,1,1,1
2,0,0,3,1703.0,2101.0,2101,2,2,2,2,0
1,0,1,3,1399.0,2206.0,2107,3,2,2,2,1
2,0,0,3,236.0,2117.0,2117,7,4,2,1,0
2,1,1,3,1649.0,2241.0,2135,3,3,2,1,0
2,0,0,3,461.0,2241.0,2241,1,1,2,2,0
2,1,1,3,2240.0,2241.0,2101,1,1,4,2,0
2,0,0,3,966.0,2101.0,2101,1,1,2,2,0
2,1,1,3,2502.0,2135.0,2101,2,2,1,2,0
1,0,1,3,2223.0,2107.0,2101,2,1,2,2,0
2,1,1,3,2356.0,2242.0,2103,1,1,2,2,0
2,1,1,7,1490.0,2151.0,2171,5,1,2,2,0
2,0,0,3,1008.0,2242.0,2101,2,2,2,2,0
2,1,1,3,1419.0,2243.0,2102,3,3,2,1,0
2,1,1,5,1028.0,2102.0,2102,1,1,2,2,1
2,1,1,3,2082.0,2241.0,2101,2,2,1,1,0
2,1,1,3,2482.0,2120.0,2104,3,2,2,1,1
2,1,0,3,454.0,2241.0,2241,2,2,2,2,0
2,0,1,3,317.0,2242.0,2242,3,2,2,2,0
1,1,1,3,382.0,2248.0,2102,2,1,2,2,0
1,1,1,4,275.0,2242.0,2242,1,1,2,2,0
1,0,1,4,632.0,2206.0,2206,1,1,2,2,0
2,0,0,3,2051.0,2101.0,2101,1,1,2,2,0
1,0,1,3,1524.0,2101.0,2101,2,2,2,2,0
1,1,1,3,1648.0,2242.0,2107,1,1,2,2,0
2,1,0,3,657.0,2248.0,2137,2,2,1,1,1
2,0,0,3,1559.0,2135.0,2114,1,1,4,4,0
1,0,1,3,1123.0,2242.0,2105,2,2,2,2,0
1,1,1,5,574.0,2242.0,2241,1,1,2,2,0
1,1,1,4,241.0,2242.0,2242,1,1,2,2,0
2,1,0,3,1389.0,2241.0,2206,2,1,2,2,0
1,1,1,3,2209.0,2248.0,2107,1,1,2,2,1
2,0,0,3,2399.0,2101.0,2103,3,2,1,1,0
3,1,0,3,2456.0,2101.0,2101,1,1,2,2,0
2,1,0,7,2339.0,2209.0,2102,1,1,2,1,0
1,1,1,3,452.0,2242.0,2242,3,1,2,2,0
2,0,0,3,2030.0,2102.0,2101,2,1,3,2,0
1,1,1,3,2846.0,2102.0,2101,1,0,2,2,0
2,1,0,3,1211.0,2105.0,2105,2,2,2,2,0
2,1,1,3,1809.0,2105.0,2105,3,2,1,1,0
1,0,1,5,550.0,2241.0,2206,1,1,4,2,0
2,1,0,3,940.0,2241.0,2107,1,1,2,2,0
3,1,0,7,888.0,2156.0,2156,1,1,4,2,0
1,1,1,3,2031.0,2242.0,2101,2,1,2,2,0
2,0,0,3,1542.0,2114.0,4101,1,1,0,2,0
